Name,Reference (s),Full Address,Address,City,State,Country,ZIP,Current Status,Converted into?,Creation,Closure,Reason for closure,Owner,Films screened,Website,Notes
Frolic,FDYB1926 - 1932,"1720-1722 4th Avenue North, Birmingham, Alabama, United States, 35208",1720-1722 4th Avenue North,Birmingham,Alabama,United States,35208,,,,,,,,,
Pastime Theater,Bham Wiki,"1900 2nd Avenue North, Birmingham, Alabama, United States, 35203",1900 2nd Avenue North,Birmingham,Alabama,United States,35203,,,,,,,,,
Queen / New Queen,Bham Wiki,"212 18th Street North, Birmingham, Alabama, United States, 35203",212 18th Street North,Birmingham,Alabama,United States,35203,,,1910s,1920s,,J. L. Salvage,,https://bhamwiki.com/w/Queen_Theater,
Crown,FDYB1950,"/, Camp Hill, Alabama, United States, ",/,Camp Hill,Alabama,United States,,,,,,,,,,
Elite,FDYB1950,"505 West Vine Street, Decatur, Alabama, United States, 35607",505 West Vine Street,Decatur,Alabama,United States,35607,,,1949,1953,,,,https://cinematreasures.org/theaters/9078,
Galax,FDYB1931,"/, Decatur, Alabama, United States, ",/,Decatur,Alabama,United States,,,,,,,,,,
Lyceum,FDYB1927,"/, Decatur, Alabama, United States, ",/,Decatur,Alabama,United States,,,,,,,,,,
Carver,FDYB1950,"/, Dothan, Alabama, United States, ",/,Dothan,Alabama,United States,,,,,,,,,,
Dothan,FDYB1931,"/, Dothan, Alabama, United States, ",/,Dothan,Alabama,United States,,,,,,,,,,
Proposed Drive-in,Bham Wiki,"3rd Place Alley at 17th Avenue North, Enon Ridge, Alabama, United States, 35204",3rd Place Alley at 17th Avenue North,Enon Ridge,Alabama,United States,35204,,,1956,,,,,,
Palace,FDYB1931,"1800 Avenue D, Ensley, Alabama, United States, 35218",1800 Avenue D,Ensley,Alabama,United States,35218,,,,,,,,"page 21, https://www.shphistoric.com/page20/files/ArchiGuide%2007_20.pdf",
Miles,FDYB1950,"5230 Commerce Avenue, Fairfield, Alabama, United States, 35064",5230 Commerce Avenue,Fairfield,Alabama,United States,35064,,,1946,,,,,https://bhamwiki.com/w/List_of_former_cinemas#%22Colored%22_theaters,
Richards,FDYB1950,"121 Temple Avenue N, Fayette, Alabama, United States, 35555",121 Temple Avenue N,Fayette,Alabama,United States,35555,,,1947,1977,,,,https://cinematreasures.org/theaters/32175,
Carver,FDYB1950,"113 N. 6th Street, Gadsden, Alabama, United States, 35901",113 N. 6th Street,Gadsden,Alabama,United States,35901,,,1935,1961,,,,https://cinematreasures.org/theaters/15580,
Dixie,FDYB1931,"220 Hoke Street, Gadsden, Gadsden, Alabama, United States, 35903","220 Hoke Street, Gadsden",Gadsden,Alabama,United States,35903,,,1930,1950,,,,https://cinematreasures.org/theaters/39495,
Picto,FDYB1926 - /FDYB1931,"Jefferson Street, Huntsville, Alabama, United States, 35801",Jefferson Street,Huntsville,Alabama,United States,35801,,,1931,,,,,https://cinematreasures.org/theaters/63437,
Princess,FDYB1950,"210 Church Street, Huntsville, Alabama, United States, 35801",210 Church Street,Huntsville,Alabama,United States,35801,,,1935,1963,,,,https://cinematreasures.org/theaters/26109,
Gay (Cl.),FDYB1950,"/, Hurtsboro, Alabama, United States, ",/,Hurtsboro,Alabama,United States,,,,,,,,,,
Dixie,FDYB1931,"/, Jackson, Alabama, United States, ",/,Jackson,Alabama,United States,,,,,,,,,,
Booker-T,FDYB1950,"1378 Dr. Martin Luther King Jr. Avenue, Mobile, Alabama, United States, 36603",1378 Dr. Martin Luther King Jr. Avenue,Mobile,Alabama,United States,36603,,,,,,,,https://cinematreasures.org/theaters/42105,
Harlem,FDYB1950,"501 S. Dearborn Street, Mobile, Alabama, United States, 36603",501 S. Dearborn Street,Mobile,Alabama,United States,36603,,,1940,1960,,,,https://cinematreasures.org/theaters/42116,
Lincoln,FDYB1950,"900 Selma Street, Mobile, Alabama, United States, 36604",900 Selma Street,Mobile,Alabama,United States,36604,,,1938,1976,,,,https://cinematreasures.org/theaters/32184,
Pike,FDYB1931 - FDYB1950,"256 Dr. Martin Luther King Jr. Avenue, Mobile, Alabama, United States, 36610",256 Dr. Martin Luther King Jr. Avenue,Mobile,Alabama,United States,36610,,,1921,1955,,,,https://cinematreasures.org/theaters/52102,
Sky King (Cl.),FDYB1950,"/, Mobile, Alabama, United States, ",/,Mobile,Alabama,United States,,,,,,,,,,
Bamboo (Cl.),FDYB1950,"/, Monroeville, Alabama, United States, ",/,Monroeville,Alabama,United States,,,,,,,,,,
Carver,FDYB1950,"500 S. Holt Street, Montgomery, Alabama, United States, 36104",500 S. Holt Street,Montgomery,Alabama,United States,36104,,,1940,1961,,,,https://cinematreasures.org/theaters/32186,
Gem,FDYB1931 - 1932,"30 N. Lawrence Street, Montgomery, Alabama, United States, 36104",30 N. Lawrence Street,Montgomery,Alabama,United States,36104,,,1911,1985,,,,https://cinematreasures.org/theaters/793,
Pekin,FDYB1926 - FDYB1950,"30 N. Lawrence Street, Montgomery, Alabama, United States, 36104",30 N. Lawrence Street,Montgomery,Alabama,United States,36104,Demolished,,1911,1985,,,,https://cinematreasures.org/theaters/793,
State,FDYB1950,"954 Highland Avenue, Montgomery, Alabama, United States, 36104",954 Highland Avenue,Montgomery,Alabama,United States,36104,Converted,Rose Supper Club,1920,2013,,,,"https://cinematreasures.org/theaters/31240 , https://cinematreasures.org/theaters/42128",
Dunbar,FDYB1926,"2722 29th Avenue North, North Birmingham, Alabama, United States, 35207",2722 29th Avenue North,North Birmingham,Alabama,United States,35207,,,1924,1929,,,,bhamwiki.com/w/List_of_former_cinemas#Bessemer,
Dunbar,FDYB1931 -,"duplicate, North Birmingham, Alabama, United States, ",duplicate,North Birmingham,Alabama,United States,,,,,,,,,,
Princess,FDYB1950,"115 N. Center Street, Piedmont, Alabama, United States, 36272",115 N. Center Street,Piedmont,Alabama,United States,36272,,,1912,1952,,,,https://cinematreasures.org/theaters/32136,
Washington,FDYB1931 - 1932,"/, Plateau, Alabama, United States, ",/,Plateau,Alabama,United States,,,,,,,,,,
Carver,FDYB1950,"901 St. Stephens Road, Pritchard, Alabama, United States, 36610",901 St. Stephens Road,Pritchard,Alabama,United States,36610,,,,,,E. V. Landraiche,,,
Gem,FDYB1950,"S. Wilson Avenue and Rail Road Street, Pritchard, Alabama, United States, 36610",S. Wilson Avenue and Rail Road Street,Pritchard,Alabama,United States,36610,,,1935,1955,,,,https://cinematreasures.org/theaters/39861,
Roxy,FDYB1950,"1220 Broad Street, Selma, Alabama, United States, 56701",1220 Broad Street,Selma,Alabama,United States,56701,,,1939,1952,,,,https://cinematreasures.org/theaters/32244,
Carver,FDYB1950,"/, Sheffield, Alabama, United States, ",/,Sheffield,Alabama,United States,,,,,,,,,,
Star,FDYB1931 ,"/, Sylacauga, Alabama, United States, ",/,Sylacauga,Alabama,United States,,,,,,,,,,
College,FDYB1931 - 1932,"627 West Battle Street, Talladega, Alabama, United States, 35160",627 West Battle Street,Talladega,Alabama,United States,35160,,,,,,,,talladega college,
Diamond,FDYB1950,"7th Street and 23rd Avenue, Tuscaloosa, Alabama, United States, 35401",7th Street and 23rd Avenue,Tuscaloosa,Alabama,United States,35401,,,1946,1967,,,,https://cinematreasures.org/theaters/16951,
Star,FDYB1931 - 1932,"/, Tuscaloosa, Alabama, United States, ",/,Tuscaloosa,Alabama,United States,,,,,,,,,,
80 Drive-In / Lincoln Drive in,FDYB1950,"4920 US 80, Tuskegee, Alabama, United States, 36083",4920 US 80,Tuskegee,Alabama,United States,36083,,,1950,,,John Moffit,,https://cinematreasures.org/theaters/39752,
Macon,FDYB1950,"W. Northside Street, Tuskegee, Alabama, United States, 36083",W. Northside Street,Tuskegee,Alabama,United States,36083,,,1935,1975,,,,https://cinematreasures.org/theaters/26822,side by side theater
Tuskegee Institute,FDYB1931 -,"1200 W Montgomery Rd, Tuskegee, Alabama, United States, 36088",1200 W Montgomery Rd,Tuskegee,Alabama,United States,36088,,,,,,,,,
Ramona,FDYB1950,"313 E. Van Buren Avenue, Phoenix, Arizona, United States, 85003",313 E. Van Buren Avenue,Phoenix,Arizona,United States,85003,Demolished,Parking lot,"June 12, 1920",1955,,Harry Nace,,https://cinematreasures.org/theaters/34493,
Dixie,FDYB1931 - ,"/, Blytheville, Arkansas, United States, ",/,Blytheville,Arkansas,United States,,,,,,,,,,
Savoy,FDYB1950,"507 W. Ash Street, Blytheville, Arkansas, United States, 72315",507 W. Ash Street,Blytheville,Arkansas,United States,72315,,,1946,1966,,,,https://cinematreasures.org/theaters/55591,
Circle (Cl.),FDYB1950,"/, Camden, Arkansas, United States, ",/,Camden,Arkansas,United States,,,,,,,,,,
Harlem (Cl.),FDYB1950,"/, Camden, Arkansas, United States, ",/,Camden,Arkansas,United States,,,,,,,,,,
James,FDYB1950,"/, Cotton Plantation, Arkansas, United States, ",/,Cotton Plantation,Arkansas,United States,,,,,,,,,,
Gay (Cl.),FDYB1950,"/, Crawfordsville, Arkansas, United States, ",/,Crawfordsville,Arkansas,United States,,,,,,,,,,
Savoy,FDYB1950,"/, Earle, Arkansas, United States, ",/,Earle,Arkansas,United States,,,,,,,,,,
Fairview,FDYB1931 -,"545 E And B Street, Eldorado, Arkansas, United States, 71730",545 E And B Street,Eldorado,Arkansas,United States,71730,,,1921,late 1920s,,,,https://cinematreasures.org/theaters/29505,
Savoy,FDYB1950,"624 N. West Ave., Eldorado, Arkansas, United States, 71730",624 N. West Ave.,Eldorado,Arkansas,United States,71730,,,1928,1950,,,,https://cinematreasures.org/theaters/29514,
Star,FDYB1950,"123 W. Hillsboro Street, Eldorado, Arkansas, United States, 71730",123 W. Hillsboro Street,Eldorado,Arkansas,United States,71730,,,1922,1950,,,,https://cinematreasures.org/theaters/29511,
Harlem,FDYB1950,"102 N. Rosser Street, Forest City, Arkansas, United States, 72335",102 N. Rosser Street,Forest City,Arkansas,United States,72335,,,1930,1950,,,,https://cinematreasures.org/theaters/29522,
Mrs. Williams' Theater,FDYB1931 -,"/, Helena, Arkansas, United States, ",/,Helena,Arkansas,United States,,,,,,,,,,
Plaza,"FDYB1926, FDYB1950","116 Walnut Street, Helena, Arkansas, United States, 72342",116 Walnut Street,Helena,Arkansas,United States,72342,,,1917,,,Eliza Ross Miller,,"https://arblackhalloffame.org/honorees/1999/miller/,https://cinematreasures.org/theaters/29543",
Palace,FDYB1950,"221 E. 3rd Street., Hope, Arkansas, United States, 71801",221 E. 3rd Street.,Hope,Arkansas,United States,71801,,,,,,,,https://cinematreasures.org/theaters/29556,
Beal Street,FDYB1950,"Railroad Street, Hughes, Arkansas, United States, 72348",Railroad Street,Hughes,Arkansas,United States,72348,,,,,,,,https://cinematreasures.org/theaters/29844,
Arganta,FDYB1932 -,"\, Little Rock, Arkansas, United States, ",\,Little Rock,Arkansas,United States,,,,,,,,,,
Gem,FDYB1950,"712 W. 9th Street, Little Rock, Arkansas, United States, 72201",712 W. 9th Street,Little Rock,Arkansas,United States,72201,,,1910,1958,,,,https://cinematreasures.org/theaters/29011,
Plaza,FDYB1926 - FDYB1931,"/, Little Rock, Arkansas, United States, ",/,Little Rock,Arkansas,United States,,,,,,,,,,
Ritz,FDYB1950,"/, Magnolia, Arkansas, United States, ",/,Magnolia,Arkansas,United States,,,,,,,,,,
Rio,FDYB1950,"Vine Street & W. 5th Street, Malvern, Arkansas, United States, 72104",Vine Street & W. 5th Street,Malvern,Arkansas,United States,72104,,,pre 1947,post 1950,,,,https://cinematreasures.org/theaters/51527,
Blue Heaven,FDYB1950,"284 W. Chestnut Street, Marianna, Arkansas, United States, 72360",284 W. Chestnut Street,Marianna,Arkansas,United States,72360,,,1941,post 1955,,,,https://cinematreasures.org/theaters/29176,
Harlem,FDYB1950,"/, Newport, Arkansas, United States, ",/,Newport,Arkansas,United States,,,,,,,,,,
Arganta,FDYB1932,"/, North Little Rock, Arkansas, United States, ",/,North Little Rock,Arkansas,United States,,,,,,,,,,https://ia804503.us.archive.org/14/items/billboard29-1917-10/billboard29-1917-10.pdf
Gem,FDYB1950,"213 E. Hale Avenue, Osceola, Arkansas, United States, 72370",213 E. Hale Avenue,Osceola,Arkansas,United States,72370,,,1929,1957,,,,https://beekman.herokuapp.com/theaters/29595,
Joy,FDYB1950,"124 N. Walnut Street, Osceola, Arkansas, United States, 72370",124 N. Walnut Street,Osceola,Arkansas,United States,72370,,,1939,1955,,,,https://cinematreasures.org/theaters/42215,
Vester,FDYB1950,"102 E. Second Avenue, Pine Bluff, Arkansas, United States, 71601",102 E. Second Avenue,Pine Bluff,Arkansas,United States,71601,,,1940,1950,,,,https://cinematreasures.org/theaters/29593,
Strong Circuit,FDYB1950,"/, Proctor, Arkansas, United States, ",/,Proctor,Arkansas,United States,,,,,,,,,,
Green River,FDYB1931 - ,"/, Scotland, Arkansas, United States, ",/,Scotland,Arkansas,United States,,,,,,,,,,
Colorado,FDYB1931 - ,"/, Smackover, Arkansas, United States, ",/,Smackover,Arkansas,United States,,,,,,,,,,
Dreamland,FDYB1931 - ,"/, Stamps, Arkansas, United States, ",/,Stamps,Arkansas,United States,,,,,,,,,,
Harlem,FDYB1950,"/, Turrell, Arkansas, United States, ",/,Turrell,Arkansas,United States,,,,,,,,,,
Palace,FDYB1926 -,"/, Warren, Arkansas, United States, ",/,Warren,Arkansas,United States,,,,,,,,,,
Rex (Cl.),FDYB1950,"/, Warren, Arkansas, United States, ",/,Warren,Arkansas,United States,,,,,,,,,,
Blair's,FDYB1950,"/, West Helena, Arkansas, United States, ",/,West Helena,Arkansas,United States,,,,,,,,,https://www.cinematour.com/theatres/us/ar/13.html,
Jug,FDYB1950,"/, West Helena, Arkansas, United States, ",/,West Helena,Arkansas,United States,,,,,,,,,https://www.cinematour.com/theatres/us/ar/13.html,
Silver Star,FDYB1950,"/, West Helena, Arkansas, United States, ",/,West Helena,Arkansas,United States,,,,,,,,,,
Harlem,FDYB1950,"903 E. Broadway, West Memphis, Arkansas, United States, 72301",903 E. Broadway,West Memphis,Arkansas,United States,72301,,,1944,late 1960s,,,,https://cinematreasures.org/theaters/42866,
Virginia,FDYB1950,"1224 19th Street, Bakersfield, California, United States, 93301",1224 19th Street,Bakersfield,California,United States,93301,Still Standing,,1920,,,,,https://cinematreasures.org/theaters/5081,"Adult theater. Renamed Paris Theater from June 28, 1963, renamed Cinema 19 on August 11, 1967"
Vista,FDYB1950,"1400 E. California Avenue, Bakersfield, California, United States, 93305",1400 E. California Avenue,Bakersfield,California,United States,93305,Converted,Bakersfield Revival Temple,"May 4, 1948","February 9, 1959",,,,https://cinematreasures.org/theaters/31489,Demolished 1962
The Campus,FDYB1927,"2440 Bancroft Way, Berkeley, California, United States, 94704",2440 Bancroft Way,Berkeley,California,United States,94704,Converted,Mixed-use complex,"March 6, 1926",,,,,https://cinematreasures.org/theaters/5082,
Bijou,FDYB1931 - 1932,"1139 Fulton Mall, Fresno, California, United States, 93721",1139 Fulton Mall,Fresno,California,United States,93721,Demolished,Walmart,"November 27, 1969",1979,End of lease,,,https://cinematreasures.org/theaters/5119,"Originally opened as Kiddie Kinema, which catered to children and was children only. Renamed Bijou Cinema from September 1973 - 1974, which played old movies for adults. "
Lyceum,FDYB1931 - 1932,"1019 F Street, Fresno, California, United States, 93706",1019 F Street,Fresno,California,United States,93706,Converted,Vintage clothing store,"September 17, 1916",post 1950,,,,https://cinematreasures.org/theaters/5112,Listed as African American theater from 1930-1932
Ryan's,"FDYB1931 - 1932, FDYB1950","1437 Tulare Street, Fresno, California, United States, 93706",1437 Tulare Street,Fresno,California,United States,93706,Demolished,,,,,,,https://cinematreasures.org/theaters/5116,http://digital.sjvls.org/document/11182
Allena,FDYB1950,"126 E. Martin Luther King, Jr. Boulevard, Los Angeles, California, United States, 90011","126 E. Martin Luther King, Jr. Boulevard",Los Angeles,California,United States,90011,Converted,Apartment and grocery store,Before or on 1939,Around 1956,,,,,"After demolition, new building was constructed in 1992. Deeds exist for 128 E Martin Luther King Jr Blvd"
Avalon,FDYB1950,"5258 S. Avalon Boulevard, Los Angeles, California, United States, 90011",5258 S. Avalon Boulevard,Los Angeles,California,United States,90011,Demolished,Housing project,1913,"March 31, 1951",Lease ended,,,https://cinematreasures.org/theaters/5013,Opened as K&K Theatre in 1913. Renamed to Avalon in 1932. Demolished 1964. Deeds exist for 5258 AVALON BLVD
Bill Robinson,FDYB1950,"4219 S. Central Avenue, Los Angeles, California, United States, 90011",4219 S. Central Avenue,Los Angeles,California,United States,90011,Demolished,Apartment (Constituent Services Center - unverified),1921,1965 -1966,Watts riots,,,https://cinematreasures.org/theaters/2386,"Opened as Tivoli Theatre. Renamed to Bill Robinson Theatre in 1938. Suffered damage from 1971 Sylmar earthquake and subsequently demolished in 1975. Became hotel, apartment, and retail after."
Central,FDYB1931 -,"1629 S. Central Ave, Los Angeles, California, United States, 90021",1629 S. Central Ave,Los Angeles,California,United States,90021,Demolished,"Converted into garage around 1945, demolished due to I-10 highway",1911,"Unknown, before 1923",,,,,Listed as New Central Threatre in 1911 and 1912. Renamed Central Theatre in 1915.
Deluxe,FDYB1950,"1873 W. Jefferson Boulevard, Los Angeles, California, United States, 90018",1873 W. Jefferson Boulevard,Los Angeles,California,United States,90018,Demolished,Single family house,"1914, reopened 1936",1955,,,,https://cinematreasures.org/theaters/2393,"Opened as St. Andrews Theatre. Renamed Favorite Theatre from 1922-1925. Closed around 1930, reopened as Deluxe Theatre in 1936. "
Florence Mills,FDYB1950,"3511 S. Central Avenue, Los Angeles, California, United States, 90011",3511 S. Central Avenue,Los Angeles,California,United States,90011,Demolished,"Video store, before becoming abandoned. Housing project in 2019",1912,"1970s, demolished 2013",,,,https://cinematreasures.org/theaters/2388,"Opened as Globe Threatre, also known as Globe #2. Renamed Florence Mills Theatre in 1931."
Gayety [Novelty],FDYB1931 -,"523 S. Main Street, Los Angeles, California, United States, 90013",523 S. Main Street,Los Angeles,California,United States,90013,Demolished,Temporary bus station from 1963 - 1967. Currently a parking garage,"October 23, 1905","mid 1950s, before 1956",,,,https://losangelestheatres.blogspot.com/2019/04/gayety-theatre.html,"Opened as ""Novelty Theatre"", and changed names numerous times before settling on Gayety Threatre in 1938. As Gayety, it was a burlesque house with films. Demolishes before 1963."
Hub,FDYB1931 - FDYB1950,"1007 S. Central Ave, Los Angeles, California, United States, 90021",1007 S. Central Ave,Los Angeles,California,United States,90021,Demolished,Parking lot,"Unknown, earliest by 1917","Unknown, after January 1950, before 1956",,,,https://losangelestheatres.blogspot.com/search?q=Hub,Opened as New Family Theatre. Renamed Hub Threatre in 1925.
Largo,FDYB1950,"1827 E. 103rd St., Los Angeles, California, United States, 90002",1827 E. 103rd St.,Los Angeles,California,United States,90002,Demolished,Community center,1924,Early 1960s,,,,https://losangelestheatres.blogspot.com/search?q=Largo,
Lincoln,FDYB1931 - FDYB1950,"2300 S. Central Ave., Los Angeles, California, United States, 90011",2300 S. Central Ave.,Los Angeles,California,United States,90011,Converted,"Church since 1962, became a mosque after church left",1927,1961,Sold to a church,,,https://losangelestheatres.blogspot.com/2017/08/lincoln-theatre.html,
Rosebud,FDYB1931 - FDYB1950,"1940 S. Central Ave., Los Angeles, California, United States, 90011",1940 S. Central Ave.,Los Angeles,California,United States,90011,Demolished,Playground for 20th Street Elementary School,1915,Before 1956,,,,https://losangelestheatres.blogspot.com/2020/06/rosebud-theatre.html,
Royal [Tivoli],FDYB1931 -,"11523 Santa Monica Blvd, Los Angeles, California, United States, 90025",11523 Santa Monica Blvd,Los Angeles,California,United States,90025,Still Standing,,"March 8, 1924",,,,,https://losangelestheatres.blogspot.com/2017/03/royal-theatre.html,"Opened as Tivoli Theater. Renamed Royal Theater on March 5, 1968 after being taken over by Laemmle circuit"
Savoy,FDYB1931 - FDYB1950,"5326 S. Central Ave, Los Angeles, California, United States, 91702",5326 S. Central Ave,Los Angeles,California,United States,91702,Demolished,"Converted to Garden of Prayer Church in 1957, demolished in 1970. Now a child development center",1913,Before fall 1957,,,,,
Vernon,FDYB1931 -,"/, Los Angeles, California, United States, 90037",/,Los Angeles,California,United States,90037,,,"August 18, 1921",,,,,,
State,FDYB1950,"/, Monterey, California, United States, ",/,Monterey,California,United States,,,,,,,,,,
El Rey,FDYB1950,"3520 San Pablo Avenue, Oakland, California, United States, 94608",3520 San Pablo Avenue,Oakland,California,United States,94608,Demolished,I-580 highway,1927,July 1957,,,,,"Opene as Plaza Theatre, renamed El Rey Theatre in 1937, renamed World Theatre in 1939, renamed El Rey Theatre in 1941. Operates as burlesque"
Gem,FDYB1931 -,"485 8th Street, Oakland, California, United States, 94607",485 8th Street,Oakland,California,United States,94607,Demolished,Apartment complex,1909,1970s,,,,,"Renamed Moulin Rouge Theatre on July 20, 1932. Later became an adult theatre."
Lincoln,FDYB1931 - FDYB1950,"1620 7th Street, Oakland, California, United States, 94607",1620 7th Street,Oakland,California,United States,94607,Converted,"Church, later demolishd to become a park",1919,1955,,,,,Was abandoned for decades after the Church left. Building was demolished after the roof caved in.
Marquee,FDYB1931 -,"717 Market Street, Oakland, California, United States, 94607",717 Market Street,Oakland,California,United States,94607,Demolished,Apartment complex,1914,1962,,,,,"Opened as Marquee Theare, renamed Arabian Theatre in 1930, renamed Star Theatre in 1937, closed and demolished in 1962. Mainly served Spanish speaking communities."
Rex,FDYB1950,"1011 Broadway, Oakland, California, United States, 94607",1011 Broadway,Oakland,California,United States,94607,Demolished,Oakland Marriott parking lot,1908,1962,,,,,
Palace,FDYB1950,"245 Black Diamond Street, Pittsburg, California, United States, 94565",245 Black Diamond Street,Pittsburg,California,United States,94565,Demolished,,1910,"1941 (first closure), 1960s",,,,,Demolished 1970s
Rio,FDYB1950,"412 MacDonald Avenue, Richmond, California, United States, 94801",412 MacDonald Avenue,Richmond,California,United States,94801,Converted,"Church, later apartment block","June 26, 1943",mid-1960s,,,,,"Demolished 2014, apartment block was built on the site"
Studio,FDYB1950,"811 Macdonald Avenue, Richmond, California, United States, 94801",811 Macdonald Avenue,Richmond,California,United States,94801,Demolished,Parking garage for Kaiser Permanente,"June 13, 1942","June 12/13, 1952",,,,https://richtheatres.blogspot.com/2014/10/studio-theatre-later-crest.html,"Reopened as Crest theater in September 1, 1950"
Lyric,FDYB1931 - 1932,"212 K Street, Sacramento, California, United States, 95814",212 K Street,Sacramento,California,United States,95814,Demolished,I-5 highway,"October 2, 1908",1955,,,,,"Later operated as the Mexico Theatre screening Spanish language movies. Faced a fire in 1952 and underwent renovation, reopening in 1953 as the New Lyric Theatre, which showed burlesque. Became a movie theatre again in 1954, following a rename to the Nu Lyric Theatre."
Nippon,FDYB1931,"328 L Street, Sacramento, California, United States, 95814",328 L Street,Sacramento,California,United States,95814,Demolished,Potential redevelopment,1907,1960,,,,,"Opened as Nippon Theatre, renamed to Alameda Theater sometime later."
Rio,FDYB1950,"519 J Street, Sacramento, California, United States, 95814",519 J Street,Sacramento,California,United States,95814,Demolished,Kaiser Permanente hospital,1915,late 1960s,,,,,"Opened as Godard's J Street Theater, renamed Sutter Theater in 1930, renamed El Rey Theater in 1933. Suffered fire in 1941 and was repaird and reopened as Rio Theater on March 21, 1942. Screened Mexican movies by 1962. Renamed Cinema Theatre in 1966 and began showing adult movies with live burlesque."
Silver Palace,FDYB1931,"/, Sacramento, California, United States, ",/,Sacramento,California,United States,,,,,,,,,,
Victory,FDYB1950,"2558 Imperial Avenue, San Diego, California, United States, 92102",2558 Imperial Avenue,San Diego,California,United States,92102,Converted,"Became a church in 1960s, space for live performances by Technomania Circus",1920,1952,,,,,Called Victory Theatre from 1920-1932. Renamed Imperial Theatre before reopening as New Victory Theater in 1932.
